bed_id,bed_number,bed_status,ward_id
1,1-1,Occupied,1
2,1-2,Occupied,1
3,1-3,Available,1
4,1-4,Occupied,1
5,1-5,Occupied,1
6,1-6,Occupied,1
7,1-7,Available,1
8,1-8,Available,1
9,1-9,Available,1
10,1-10,Occupied,1
11,2-1,Available,2
12,2-2,Available,2
13,2-3,Available,2
14,2-4,Occupied,2
15,2-5,Occupied,2
16,2-6,Occupied,2
17,2-7,Available,2
18,2-8,Available,2
19,2-9,Occupied,2
20,2-10,Occupied,2
21,2-11,Occupied,2
22,2-12,Occupied,2
23,2-13,Occupied,2
24,2-14,Occupied,2
25,2-15,Available,2
26,3-1,Occupied,3
27,3-2,Available,3
28,3-3,Occupied,3
29,3-4,Available,3
30,3-5,Occupied,3
31,3-6,Occupied,3
32,3-7,Available,3
33,3-8,Occupied,3
34,3-9,Available,3
35,3-10,Occupied,3
36,4-1,Available,4
37,4-2,Occupied,4
38,4-3,Occupied,4
39,4-4,Occupied,4
40,4-5,Occupied,4
41,4-6,Occupied,4
42,4-7,Occupied,4
43,4-8,Available,4
44,4-9,Occupied,4
45,4-10,Available,4
46,4-11,Available,4
47,4-12,Occupied,4
48,4-13,Available,4
49,4-14,Occupied,4
50,4-15,Occupied,4
51,4-16,Available,4
52,4-17,Occupied,4
53,4-18,Occupied,4
54,4-19,Occupied,4
55,4-20,Available,4
56,5-1,Occupied,5
57,5-2,Occupied,5
58,5-3,Occupied,5
59,5-4,Available,5
60,5-5,Occupied,5
61,5-6,Occupied,5
62,5-7,Available,5
63,5-8,Available,5
64,5-9,Occupied,5
65,5-10,Occupied,5
66,5-11,Occupied,5
67,5-12,Occupied,5
68,5-13,Available,5
69,5-14,Occupied,5
70,5-15,Occupied,5
71,5-16,Available,5
72,5-17,Available,5
73,5-18,Occupied,5
74,5-19,Occupied,5
75,5-20,Available,5
76,6-1,Available,6
77,6-2,Occupied,6
78,6-3,Occupied,6
79,6-4,Available,6
80,6-5,Occupied,6
81,6-6,Available,6
82,6-7,Occupied,6
83,6-8,Occupied,6
84,6-9,Available,6
85,6-10,Occupied,6
86,7-1,Available,7
87,7-2,Available,7
88,7-3,Occupied,7
89,7-4,Occupied,7
90,7-5,Occupied,7
91,7-6,Occupied,7
92,7-7,Available,7
93,7-8,Occupied,7
94,7-9,Occupied,7
95,7-10,Available,7
96,7-11,Occupied,7
97,7-12,Occupied,7
98,7-13,Available,7
99,7-14,Available,7
100,7-15,Occupied,7
101,8-1,Occupied,8
102,8-2,Occupied,8
103,8-3,Occupied,8
104,8-4,Available,8
105,8-5,Available,8
106,8-6,Available,8
107,8-7,Occupied,8
108,8-8,Occupied,8
109,8-9,Available,8
110,8-10,Occupied,8
111,9-1,Occupied,9
112,9-2,Occupied,9
113,9-3,Occupied,9
114,9-4,Available,9
115,9-5,Available,9
116,9-6,Occupied,9
117,9-7,Available,9
118,9-8,Occupied,9
119,9-9,Occupied,9
120,9-10,Available,9
121,10-1,Occupied,10
122,10-2,Occupied,10
123,10-3,Occupied,10
124,10-4,Occupied,10
125,10-5,Available,10
126,10-6,Occupied,10
127,10-7,Available,10
128,10-8,Available,10
129,10-9,Occupied,10
130,10-10,Available,10
131,10-11,Available,10
132,10-12,Occupied,10
133,10-13,Occupied,10
134,10-14,Occupied,10
135,10-15,Occupied,10
136,10-16,Available,10
137,10-17,Occupied,10
138,10-18,Occupied,10
139,10-19,Occupied,10
140,10-20,Available,10
141,11-1,Occupied,11
142,11-2,Occupied,11
143,11-3,Available,11
144,11-4,Occupied,11
145,11-5,Occupied,11
146,11-6,Occupied,11
147,11-7,Available,11
148,11-8,Available,11
149,11-9,Available,11
150,11-10,Occupied,11
151,11-11,Occupied,11
152,11-12,Occupied,11
153,11-13,Occupied,11
154,11-14,Occupied,11
155,11-15,Occupied,11
156,11-16,Occupied,11
157,11-17,Available,11
158,11-18,Occupied,11
159,11-19,Available,11
160,11-20,Available,11
161,12-1,Occupied,12
162,12-2,Available,12
163,12-3,Occupied,12
164,12-4,Available,12
165,12-5,Occupied,12
166,12-6,Occupied,12
167,12-7,Occupied,12
168,12-8,Occupied,12
169,12-9,Available,12
170,12-10,Available,12
171,12-11,Available,12
172,12-12,Occupied,12
173,12-13,Occupied,12
174,12-14,Occupied,12
175,12-15,Occupied,12
176,12-16,Occupied,12
177,12-17,Available,12
178,12-18,Occupied,12
179,12-19,Occupied,12
180,12-20,Available,12
181,13-1,Occupied,13
182,13-2,Available,13
183,13-3,Available,13
184,13-4,Occupied,13
185,13-5,Occupied,13
186,13-6,Occupied,13
187,13-7,Available,13
188,13-8,Occupied,13
189,13-9,Occupied,13
190,13-10,Available,13
191,13-11,Available,13
192,13-12,Occupied,13
193,13-13,Occupied,13
194,13-14,Occupied,13
195,13-15,Available,13
196,13-16,Occupied,13
197,13-17,Occupied,13
198,13-18,Occupied,13
199,13-19,Available,13
200,13-20,Occupied,13
201,14-1,Occupied,14
202,14-2,Available,14
203,14-3,Occupied,14
204,14-4,Occupied,14
205,14-5,Available,14
206,14-6,Occupied,14
207,14-7,Occupied,14
208,14-8,Available,14
209,14-9,Available,14
210,14-10,Available,14
211,14-11,Available,14
212,14-12,Occupied,14
213,14-13,Occupied,14
214,14-14,Occupied,14
215,14-15,Occupied,14
216,15-1,Occupied,15
217,15-2,Occupied,15
218,15-3,Available,15
219,15-4,Available,15
220,15-5,Occupied,15
221,15-6,Occupied,15
222,15-7,Occupied,15
223,15-8,Available,15
224,15-9,Occupied,15
225,15-10,Available,15
226,15-11,Occupied,15
227,15-12,Available,15
228,15-13,Occupied,15
229,15-14,Occupied,15
230,15-15,Available,15
231,16-1,Occupied,16
232,16-2,Occupied,16
233,16-3,Occupied,16
234,16-4,Available,16
235,16-5,Occupied,16
236,16-6,Available,16
237,16-7,Available,16
238,16-8,Occupied,16
239,16-9,Occupied,16
240,16-10,Available,16
241,17-1,Occupied,17
242,17-2,Occupied,17
243,17-3,Available,17
244,17-4,Occupied,17
245,17-5,Occupied,17
246,17-6,Available,17
247,17-7,Occupied,17
