inventory_id,current_stock,reorder_level,inventory_status,last_restock_date,drug_id
1,347,170,Normal,2025-04-21,1
2,949,125,Normal,2023-03-30,2
3,293,246,Normal,2020-02-09,3
4,433,252,Normal,2021-03-06,4
5,641,114,Normal,2024-02-08,5
6,948,240,Normal,2025-06-06,6
7,667,236,Normal,2022-05-17,7
8,205,202,Normal,2023-01-29,8
9,488,294,Normal,2023-05-29,9
10,659,238,Normal,2024-11-16,10
11,891,291,Normal,2022-10-20,11
12,444,105,Normal,2022-03-01,12
13,745,162,Normal,2023-11-21,13
14,386,284,Normal,2020-05-13,14
15,54,249,Low,2020-12-04,15
16,82,200,Low,2023-03-02,16
17,760,203,Normal,2021-06-12,17
18,873,141,Normal,2020-07-20,18
19,65,141,Low,2022-10-28,19
20,595,251,Normal,2023-02-10,20
21,881,298,Normal,2023-06-06,21
22,300,246,Normal,2021-09-02,22
23,850,221,Normal,2023-03-28,23
24,91,160,Low,2025-09-12,24
25,700,250,Normal,2021-06-23,25
26,923,125,Normal,2021-06-12,26
27,678,293,Normal,2022-09-07,27
28,711,290,Normal,2024-09-21,28
29,210,146,Normal,2020-08-24,29
30,478,104,Normal,2025-07-15,30
31,82,252,Low,2020-08-05,31
32,850,223,Normal,2020-12-15,32
33,353,128,Normal,2023-09-02,33
34,74,212,Low,2020-05-13,34
35,946,221,Normal,2023-06-26,35
36,975,267,Normal,2024-09-23,36
37,962,152,Normal,2024-12-14,37
38,350,253,Normal,2020-07-17,38
39,237,116,Normal,2020-06-10,39
40,932,292,Normal,2021-03-24,40
41,215,289,Low,2021-06-21,41
42,191,201,Low,2020-02-06,42
43,364,288,Normal,2023-10-13,43
44,560,250,Normal,2022-11-14,44
45,566,124,Normal,2023-06-26,45
46,55,287,Low,2025-11-01,46
47,765,295,Normal,2020-07-04,47
48,568,234,Normal,2024-10-29,48
49,131,237,Low,2020-01-11,49
50,453,227,Normal,2022-06-03,50
51,870,151,Normal,2024-03-10,51
52,688,147,Normal,2023-02-24,52
53,167,186,Low,2022-01-16,53
54,604,112,Normal,2025-10-02,54
55,108,189,Low,2022-10-25,55
56,146,266,Low,2025-08-09,56
57,282,269,Normal,2020-07-05,57
58,425,257,Normal,2022-11-07,58
59,674,299,Normal,2023-08-10,59
60,738,152,Normal,2025-11-27,60
61,122,223,Low,2023-06-26,61
62,740,191,Normal,2020-03-01,62
63,147,117,Normal,2023-01-28,63
64,149,109,Normal,2025-10-31,64
65,489,102,Normal,2024-09-07,65
66,586,269,Normal,2021-03-04,66
67,635,217,Normal,2023-03-22,67
68,219,134,Normal,2024-05-17,68
69,499,113,Normal,2021-08-21,69
70,193,142,Normal,2023-06-25,70
71,797,282,Normal,2024-01-13,71
72,540,244,Normal,2025-10-03,72
73,379,226,Normal,2023-12-31,73
74,104,204,Low,2024-11-11,74
75,800,239,Normal,2020-05-29,75
76,572,127,Normal,2024-05-08,76
77,75,193,Low,2025-05-26,77
78,645,253,Normal,2021-05-07,78
79,339,221,Normal,2021-03-15,79
80,835,297,Normal,2024-09-14,80
81,554,160,Normal,2020-07-28,81
82,102,292,Low,2023-07-17,82
83,708,106,Normal,2023-12-08,83
84,749,188,Normal,2023-09-26,84
85,82,232,Low,2022-11-10,85
86,348,137,Normal,2020-03-28,86
87,553,179,Normal,2020-12-31,87
88,951,150,Normal,2024-07-12,88
89,351,286,Normal,2025-05-03,89
90,314,230,Normal,2023-04-28,90
91,380,223,Normal,2023-12-26,91
92,864,113,Normal,2024-08-11,92
93,831,144,Normal,2025-02-26,93
94,736,227,Normal,2024-04-02,94
95,211,172,Normal,2022-04-09,95
96,963,104,Normal,2024-05-19,96
97,513,209,Normal,2024-02-28,97
98,732,119,Normal,2023-08-10,98
99,456,223,Normal,2022-06-01,99
100,636,281,Normal,2021-06-29,100
101,706,152,Normal,2021-04-10,101
102,333,157,Normal,2024-03-08,102
103,909,181,Normal,2022-12-15,103
104,605,235,Normal,2022-12-03,104
105,337,179,Normal,2022-08-25,105
106,591,253,Normal,2025-08-17,106
107,996,261,Normal,2022-12-24,107
108,908,255,Normal,2025-12-25,108
109,801,270,Normal,2025-03-20,109
