assignment_id,employee_id,ward_id,shift
1,2,24,Morning
2,4,2,Morning
3,17,24,Night
4,19,12,Night
5,20,22,Morning
6,21,17,Morning
7,23,9,Night
8,24,7,Evening
9,27,5,Night
10,28,3,Evening
11,30,20,Night
12,32,13,Night
13,35,8,Evening
14,36,24,Morning
15,37,10,Evening
16,38,23,Night
17,39,24,Evening
18,45,6,Morning
19,47,11,Night
20,53,5,Morning
21,55,4,Morning
22,58,2,Night
23,60,13,Morning
24,62,1,Evening
25,63,14,Evening
26,66,7,Morning
27,68,23,Evening
28,69,4,Morning
29,80,7,Evening
30,81,23,Morning
31,87,2,Night
32,88,4,Night
33,89,19,Evening
34,94,2,Morning
35,95,9,Morning
36,97,8,Evening
37,99,12,Morning
38,101,13,Night
39,105,5,Evening
40,106,15,Morning
41,108,20,Night
42,109,23,Evening
43,111,22,Evening
44,112,24,Night
45,113,11,Morning
46,114,27,Evening
47,115,16,Evening
48,118,24,Evening
49,119,11,Night
50,123,22,Morning
51,126,25,Evening
52,129,23,Night
53,130,11,Night
54,133,21,Evening
55,136,14,Morning
56,137,18,Night
57,138,7,Night
58,139,26,Morning
59,140,6,Night
60,142,25,Evening
61,143,24,Night
62,144,17,Morning
63,146,6,Morning
64,148,20,Morning
65,155,25,Night
66,156,9,Morning
67,158,3,Morning
68,159,24,Morning
69,160,18,Night
70,164,25,Evening
71,167,2,Night
72,168,25,Night
73,169,22,Evening
74,174,3,Evening
75,175,9,Night
76,183,17,Evening
77,188,22,Evening
78,191,16,Morning
79,192,8,Morning
80,196,6,Night
81,199,17,Evening
82,201,15,Night
83,203,3,Evening
84,205,5,Morning
85,208,2,Morning
86,210,19,Evening
87,211,13,Morning
88,214,24,Morning
89,215,7,Night
90,220,10,Night
91,221,23,Evening
92,222,22,Night
93,223,8,Morning
94,224,27,Evening
95,226,19,Evening
96,230,23,Morning
97,231,2,Night
98,234,10,Night
99,236,16,Night
100,237,25,Evening
101,238,14,Evening
102,241,26,Morning
103,242,24,Night
104,245,9,Evening
105,246,14,Evening
106,248,9,Morning
107,251,1,Morning
108,254,17,Morning
109,256,9,Night
110,259,5,Night
111,261,26,Night
112,268,14,Night
113,271,17,Morning
114,272,7,Night
115,274,21,Morning
116,275,12,Evening
117,276,24,Night
118,277,4,Night
119,278,21,Evening
120,280,12,Evening
121,284,13,Night
122,285,16,Morning
123,286,19,Evening
124,288,12,Night
125,292,2,Morning
126,293,3,Night
127,295,22,Morning
128,298,15,Morning
129,300,19,Night
130,304,6,Evening
131,308,21,Night
132,310,1,Night
133,311,12,Night
134,312,25,Night
135,313,17,Night
136,320,21,Morning
137,322,7,Evening
138,325,1,Night
139,326,5,Evening
140,328,8,Evening
141,330,19,Evening
142,333,22,Evening
143,334,2,Night
144,338,21,Evening
145,341,13,Evening
146,343,9,Morning
147,347,21,Night
148,348,27,Morning
149,353,1,Night
150,357,17,Morning
151,367,25,Morning
152,370,20,Morning
153,371,13,Evening
154,378,11,Evening
155,385,12,Evening
156,386,25,Night
157,390,26,Night
158,391,16,Evening
159,394,9,Evening
160,395,15,Night
161,400,17,Night
162,401,14,Night
163,402,1,Evening
164,404,13,Night
165,405,18,Morning
166,408,10,Night
167,412,22,Morning
168,414,22,Morning
169,417,7,Morning
170,419,22,Evening
171,420,3,Morning
172,421,12,Night
173,423,20,Morning
174,424,25,Night
175,431,8,Night
176,432,16,Morning
177,433,12,Night
178,434,8,Morning
179,435,6,Night
180,437,16,Morning
181,438,1,Night
182,439,22,Evening
183,442,1,Night
184,446,25,Morning
185,447,2,Night
186,448,19,Evening
187,451,13,Morning
188,452,18,Morning
189,454,22,Evening
190,456,9,Evening
191,457,3,Morning
192,458,6,Night
193,459,17,Evening
194,462,23,Night
195,463,25,Morning
196,464,13,Evening
197,465,12,Morning
198,466,2,Evening
199,467,10,Evening
200,475,22,Evening
201,480,12,Night
202,481,17,Evening
203,482,20,Evening
204,485,4,Evening
205,487,12,Night
206,495,18,Night
207,500,10,Night
