country,bookings,guests,revenue
PRT,27453,52144.0,9082328.96
GBR,10433,21385.0,4722374.74
FRA,8837,18655.0,3598339.88
ESP,7252,15681.0,2974742.6
DEU,5387,10809.0,2113113.24
ITA,3066,6503.0,1211894.46
IRL,3016,6235.0,1536940.05
BEL,2081,4396.0,888707.49
BRA,1995,4398.0,795511.63
NLD,1911,3906.0,732529.6
USA,1875,3905.0,646101.38
CHE,1570,3349.0,730856.23
CN,1093,2278.0,439362.89
AUT,947,1918.0,370067.19
SWE,837,1730.0,379503.97
CHN,816,1690.0,257560.85
POL,765,1680.0,343647.36
RUS,561,1180.0,290431.83
NOR,515,1134.0,273668.99
ROU,458,979.0,256390.47
Unknown,452,626.0,94863.05
FIN,422,867.0,170897.92
ISR,403,842.0,135829.73
DNK,384,833.0,187252.88
AUS,378,768.0,130017.49
AGO,342,628.0,330716.74
LUX,262,578.0,134332.76
MAR,232,536.0,131609.5
TUR,213,421.0,78755.79
ARG,203,437.0,74690.39
HUN,202,419.0,92024.1
JPN,183,362.0,69378.0
IND,143,319.0,51541.89
CZE,136,262.0,53867.18
KOR,119,242.0,32006.34
GRC,117,209.0,52065.81
HRV,91,185.0,40895.91
DZA,82,155.0,40008.64
IRN,80,167.0,43150.33
EST,79,170.0,41410.98
ZAF,78,156.0,24669.01
MEX,74,139.0,22966.78
LTU,73,145.0,36923.58
COL,69,149.0,21627.9
BGR,68,134.0,26373.72
CHL,65,139.0,23775.9
NZL,63,124.0,18659.51
UKR,62,122.0,24467.58
MOZ,56,110.0,28579.2
SRB,54,93.0,19492.61
LVA,51,105.0,21458.07
ARE,48,108.0,30210.73
SVK,48,99.0,20206.93
CYP,45,74.0,14541.4
SAU,45,93.0,30696.32
SVN,44,90.0,18317.6
TWN,43,85.0,15219.0
THA,40,90.0,14208.8
TUN,37,78.0,15701.14
SGP,34,65.0,9344.05
PHL,32,71.0,13620.39
EGY,31,54.0,14434.84
URY,30,66.0,12891.84
NGA,30,64.0,16035.27
LBN,29,54.0,10139.31
PER,26,46.0,8725.41
ISL,26,49.0,13780.89
IDN,25,50.0,9753.7
ECU,25,52.0,10621.39
MYS,24,47.0,6613.0599999999995
BLR,24,39.0,10425.93
CPV,23,42.0,14904.330000000002
HKG,23,45.0,7428.0
VEN,21,43.0,7120.08
JOR,19,36.0,5389.0599999999995
KAZ,19,34.0,9706.9
GEO,19,41.0,16197.6
OMN,18,41.0,7461.32
CRI,18,35.0,4278.9400000000005
MLT,17,32.0,5726.94
KWT,16,34.0,7126.82
AZE,16,41.0,8972.11
GIB,15,35.0,8363.72
QAT,14,33.0,8101.91
PAK,13,25.0,6601.81
DOM,12,28.0,6216.91
MDV,12,26.0,6745.1
BIH,12,20.0,4354.45
PRI,11,17.0,1678.92
IRQ,11,19.0,4079.5
ALB,11,21.0,3319.0299999999997
SEN,11,23.0,12090.76
MAC,10,15.0,3405.42
BGD,10,26.0,6916.97
CMR,10,21.0,3864.98
GNB,9,11.0,5176.49
MKD,9,15.0,3042.8
VNM,8,17.0,2748.4
LBY,8,10.0,1537.0
CUB,8,14.0,1811.88
JEY,8,19.0,2575.37
PAN,8,17.0,3568.7
ARM,8,18.0,2003.1
MUS,7,13.0,2424.11
AND,7,19.0,6991.99
CIV,6,11.0,3178.0
KEN,6,15.0,3083.94
JAM,6,14.0,2680.17
LKA,6,9.0,2888.9
CAF,5,7.0,1046.98
BHR,5,12.0,2087.55
MNE,5,10.0,2834.0
TZA,5,10.0,1486.0
SUR,5,12.0,1979.0
GHA,4,8.0,2832.2
ZWE,4,8.0,868.89
GAB,4,7.0,1398.0
MCO,4,8.0,951.92
UZB,4,6.0,1168.3899999999999
PRY,4,8.0,671.8
GTM,3,7.0,368.0
ETH,3,6.0,1398.48
TMP,3,9.0,1158.6000000000001
SYR,3,5.0,864.0
LIE,3,6.0,927.8
FRO,3,9.0,4933.0
BEN,3,6.0,864.0000000000001
BOL,3,5.0,750.0
COM,2,7.0,330.61
BRB,2,2.0,380.0
ZMB,2,6.0,794.22
UGA,2,3.0,255.0
TJK,2,4.0,744.3
TGO,2,4.0,1784.5
MYT,2,6.0,1480.5
SLV,2,5.0,457.7
SYC,2,3.0,614.25
STP,2,4.0,344.0
RWA,2,3.0,964.74
MWI,2,4.0,252.0
ATA,2,2.0,537.0
ABW,2,5.0,927.72
LAO,2,4.0,909.99
KNA,2,3.0,368.8
GGY,2,3.0,418.70000000000005
IMN,2,5.0,963.9
DJI,1,4.0,273.0
DMA,1,2.0,421.2
CYM,1,2.0,162.0
BWA,1,3.0,355.5
BHS,1,2.0,355.95
ATF,1,2.0,252.0
BDI,1,2.0,92.0
BFA,1,2.0,80.3
ASM,1,2.0,72.07
AIA,1,4.0,1060.0
GLP,1,3.0,420.0
FJI,1,4.0,405.99
KIR,1,1.0,432.0
KHM,1,2.0,396.0
HND,1,2.0,79.0
GUY,1,1.0,360.0
MMR,1,2.0,290.0
MLI,1,2.0,89.0
MDG,1,2.0,44.0
LCA,1,2.0,403.75
NCL,1,2.0,702.0
NAM,1,2.0,486.44
NPL,1,2.0,255.0
NIC,1,3.0,417.0
SDN,1,2.0,297.0
PYF,1,2.0,432.0
PLW,1,2.0,954.03
MRT,1,2.0,585.9000000000001
SMR,1,2.0,264.6
SLE,1,2.0,850.01
UMI,1,2.0,600.0
VGB,1,2.0,301.5
