arrival_date_year,arrival_date_month,arrival_month_number,bookings,revenue,average_adr
2015,July,7,1674,926487.08,112.39937873357228
2015,August,8,2453,1405796.27,122.99439054219323
2015,September,9,2839,1070569.95,99.87818950334625
2015,October,10,2700,694217.61,78.92546296296297
2015,November,11,1665,329437.89,59.236336336336336
2015,December,12,1982,459008.26,71.54029263370332
2016,January,1,1849,340233.69,62.69845862628448
2016,February,2,2806,600806.83,69.9317640769779
2016,March,3,3831,972967.29,79.48363090576872
2016,April,4,3770,1125080.74,90.9726525198939
2016,May,5,3780,1248959.29,100.08823809523808
2016,June,6,3517,1409564.05,108.86535115154962
2016,July,7,3851,2094525.48,131.39620877694105
2016,August,8,4423,2703454.39,148.83396789509382
2016,September,9,3851,1618616.24,121.0775045442742
2016,October,10,4234,1338431.64,97.31195323571092
2016,November,11,3330,889840.46,79.51352252252254
2016,December,12,3149,948695.91,87.68759923785329
2017,January,1,2844,739363.83,74.83075949367088
2017,February,2,3292,872793.37,78.74954131227217
2017,March,3,3682,1075718.04,83.82144486692015
2017,April,4,4138,1662076.31,115.12843160947318
2017,May,5,4575,1874098.93,120.37301857923498
2017,June,6,4248,2086781.0,128.76182674199623
2017,July,7,4532,2842012.43,147.61312224183584
2017,August,8,4381,3131402.33,168.54932663775392
