column,data_type,missing_count,missing_percentage,unique_values
usedcarskuid,str,0,0.0,37810
oem,string,0,0.0,46
model,string,0,0.0,381
variant,string,0,0.0,3428
myear,int64,0,0.0,31
body,string,0,0.0,12
fuel,string,0,0.0,5
transmission,string,0,0.0,2
km,float64,0,0.0,23863
owner_type,string,0,0.0,6
city,string,0,0.0,616
state,string,0,0.0,33
utype,string,0,0.0,2
listed_price,float64,0,0.0,6865
color,string,0,0.0,748
engine_type,string,0,0.0,567
no_of_cylinder,float64,0,0.0,11
turbo_charger,bool,0,0.0,2
super_charger,bool,0,0.0,2
length,float64,0,0.0,411
width,float64,0,0.0,276
height,float64,0,0.0,300
wheel_base,float64,0,0.0,219
seats,float64,0,0.0,10
gear_box,string,0,0.0,12
drive_type,string,0,0.0,7
max_power_delivered,float64,0,0.0,570
max_torque_delivered,float64,0,0.0,330
vehicle_age,int64,0,0.0,31
km_thousands,float64,0,0.0,23863
price_lakhs,float64,0,0.0,6865
price_segment,category,0,0.0,5
