usedcarskuid,oem,model,variant,myear,body,fuel,transmission,km,owner_type,city,state,utype,listed_price,color,engine_type,no_of_cylinder,turbo_charger,super_charger,length,width,height,wheel_base,seats,gear_box,drive_type,max_power_delivered,max_torque_delivered,vehicle_age,km_thousands,price_lakhs,price_segment
7111bf25-97af-47f9-867b-40879190d800,maruti,maruti wagon r,lxi cng,2016,hatchback,cng,manual,69162.0,first,lucknow,uttar pradesh,dealer,370000.0,silver,k10b engine,3.0,False,False,3599.0,1495.0,1700.0,2400.0,5.0,5 speed,fwd,58.16,77.0,10,69.162,3.7,mid_range
c309efc1-efaf-4f82-81ad-dcb38eb36665,maruti,maruti celerio,green vxi,2015,hatchback,cng,manual,45864.0,first,mumbai,maharashtra,dealer,365000.0,grey,k10b engine,3.0,False,False,3600.0,1600.0,1560.0,2425.0,5.0,5 speed,fwd,58.2,78.0,11,45.864,3.65,mid_range
7609f710-0c97-4f00-9a47-9b9284b62d3a,honda,honda amaze,s plus i-vtec,2015,sedan,cng,manual,81506.0,second,new delhi,delhi,dealer,421000.0,silver,i-vtec petrol engine,4.0,False,False,3990.0,1680.0,1505.0,2405.0,5.0,5 speed,fwd,86.7,109.0,11,81.506,4.21,mid_range
278b76e3-5539-4a5e-ae3e-353a2e3b6d7d,maruti,maruti wagon r,lxi cng,2013,hatchback,cng,manual,115893.0,second,new delhi,delhi,dealer,240000.0,silver,k series petrol engine,3.0,False,False,3595.0,1475.0,1700.0,2400.0,5.0,5 speed,fwd,58.2,77.0,13,115.893,2.4,budget
b1eab99b-a606-48dd-a75b-57feb8a9ad92,maruti,maruti ertiga,vxi cng,2022,muv,cng,manual,18900.0,first,mumbai,maharashtra,dealer,1175000.0,white,k15c,4.0,True,True,4395.0,1735.0,1690.0,2740.0,7.0,5 speed,2wd,86.63,121.5,4,18.9,11.75,luxury
e030b70c-56b9-44b7-8b40-919fa92b6bbc,maruti,maruti wagon r,lxi cng,2012,hatchback,cng,manual,60000.0,first,new delhi,delhi,dealer,250000.0,white,k10b engine,3.0,False,False,3599.0,1495.0,1700.0,2400.0,5.0,5 speed,fwd,58.16,77.0,14,60.0,2.5,budget
6ca9c00f-b755-44e0-8680-a2d033346630,maruti,maruti alto,green lxi (cng),2010,hatchback,cng,manual,67000.0,first,new delhi,delhi,dealer,145000.0,blue,in line engine,3.0,False,False,3495.0,1475.0,1460.0,2360.0,5.0,5 speed,2wd,38.4,62.0,16,67.0,1.45,budget
27f36089-ecf1-415d-9401-f90e83813585,hyundai,hyundai grand i10,1.2 kappa magna cng bsiv,2017,hatchback,cng,manual,58000.0,first,new delhi,delhi,dealer,465000.0,grey,kappa vtvt petrol engine,4.0,False,False,3765.0,1660.0,1520.0,2425.0,5.0,5 speed,fwd,65.39,98.0,9,58.0,4.65,mid_range
4ebf53b7-8910-43c3-947c-4feb145cb9c7,maruti,maruti wagon r,cng lxi,2021,hatchback,cng,manual,54097.0,first,gurgaon,haryana,dealer,560000.0,silver,k10b petrol engine,3.0,False,False,3655.0,1620.0,1675.0,2435.0,5.0,5 speed,fwd,58.33,78.0,5,54.097,5.6,mid_range
5bb9f635-15d6-46bd-8042-11204140d44b,maruti,maruti wagon r,lxi cng,2011,hatchback,cng,manual,67000.0,second,new delhi,delhi,dealer,215000.0,silver,k10b engine,3.0,False,False,3599.0,1495.0,1700.0,2400.0,5.0,5 speed,fwd,58.16,77.0,15,67.0,2.15,budget
